Date,Start Time (Before),Stress Score (Before),Stress Category,Activity Performed,End Time (After),Stress Score (After),Stress Improvement
18-Dec-25,10:45 AM,19,Relaxed ,Listening to Music ,10:56 AM,16,3
18-Dec-25,11:45 AM,22,Relaxed ,Reading,12:15 PM,16,6
18-Dec-25,2:16 PM,30,Mild,Gaming,2:28 PM,35,-5
18-Dec-25,4:30 PM,30,Mild ,Gaming,5:30 AM,36,-6
18-Dec-25,7:21 PM,33,Mild,Gaming,8:10 PM,37,-4
18-Dec-25,9:20 PM,25,Mild,Gaming,10:15 PM,33,-8
19-Dec-25,8:28 AM,19,Relaxed ,Reading,8:40 AM,11,8
19-Dec-25,9:57 AM,18,Relaxed ,Walking,10:14 AM,14,4
19-Dec-25,10:50 AM,12,Relaxed ,Walking,11:11 AM,18,-6
19-Dec-25,11:26 AM,18,Relaxed ,Reading,11:39 AM,19,-1
19-Dec-25,12:11 PM,18,Relaxed ,Listening to Music ,12:22 PM,12,6
19-Dec-25,2:30 PM,36,Mild,Cleaning,2:36 PM,39,-3
19-Dec-25,3:00 PM,37,Mild,Cleaning,3:07 PM,40,-3
19-Dec-25,4:15 PM,38,Mild,Gaming,4:31 PM,41,-3
19-Dec-25,4:44 PM,35,Mild,Watching ,5:10 PM,31,4
19-Dec-25,8:30 PM,31,Mild,Gaming,9:15 PM,35,-4
19-Dec-25,10:25 PM,37,Mild,Gaming,10:47 PM,33,4
19-Dec-25,11:19 PM,39,Mild,Gaming,11:56 PM,36,3
