Date,Start Time (Before),Stress Score (Before),Stress Category,Activity Performed,End Time (After),Stress Score (After),Stress Improvement
27-Dec-25,5:30 AM,10,Relaxed ,Stretching,5:35 AM,18,-8
27-Dec-25,5:37 AM,17,Relaxed ,Walking,5:44 AM,9,8
27-Dec-25,6:15 AM,22,Relaxed ,Running,6:36 AM,11,11
27-Dec-25,6:45 AM,12,Relaxed ,Stretching,6:52 AM,8,4
27-Dec-25,7:50 AM,19,Relaxed ,Meditate,8:05 AM,10,9
27-Dec-25,8:25 AM,18,Relaxed ,Reading,8:35 AM,12,6
27-Dec-25,9:15 AM,19,Relaxed ,Meditate,9:26 AM,8,11
27-Dec-25,10:22 AM,6,Relaxed ,Reading,10:38 AM,15,-9
27-Dec-25,10:40 AM,15,Relaxed ,Reading,11:00 AM,10,5
27-Dec-25,3:30 PM,35,Mild,Gaming,4:10 PM,45,-10
27-Dec-25,4:30 PM,35,Mild,Listening to Music ,4:50 PM,28,7
27-Dec-25,7:30 PM,24,Relaxed ,Watching,8:15 PM,36,-12
27-Dec-25,8:20 AM,36,Mild,Watching,8:42 AM,35,1
28-Dec-25,8:00 AM,23,Relaxed ,Meditate,8:15 AM,11,12
28-Dec-25,9:50 AM,18,Relaxed ,Meditate,10:00 AM,16,2
28-Dec-25,11:15 AM,23,Relaxed ,Reading,11:26 AM,11,12
28-Dec-25,12:11 PM,16,Relaxed ,Reading,12:23 PM,19,-3
28-Dec-25,12:50 PM,23,Relaxed ,Listening to Music ,1:10 PM,13,10
28-Dec-25,1:30 PM,18,Relaxed ,Watching ,1:50 PM,12,6
28-Dec-25,2:15 PM,15,Relaxed ,Watching,2:30 PM,22,-7
28-Dec-25,4:00 PM,35,Mild,Gaming,5:00 PM,36,-1
28-Dec-25,5:00 PM,35,Mild,Gaming,6:00 PM,36,-1
28-Dec-25,8:30 PM,36,Mild,Gaming,9:10 PM,33,3
28-Dec-25,10:10 PM,29,Mild,Listening to Music ,10:30 PM,24,5
29-Dec-25,1:00 PM,20,Relaxed ,Workout,1:40 PM,15,5
29-Dec-25,2:00 PM,12,Relaxed ,Meditate,2:10 PM,8,4
29-Dec-25,3:15 PM,18,Relaxed ,Reading,3:33 PM,13,5
29-Dec-25,3:51 PM,14,Relaxed ,Reading,4:08 PM,11,3
29-Dec-25,5:22 PM,18,Relaxed ,Listening to Music ,5:30 PM,15,3
29-Dec-25,5:50 PM,12,Relaxed ,Watching,6:17 PM,18,-6
29-Dec-25,6:26 PM,23,Relaxed ,Watching,6:51 PM,19,4
29-Dec-25,8:30 PM,28,Mild,Gaming,9:19 PM,36,-8
29-Dec-25,9:26 PM,37,Mild,Gaming,9:43 PM,35,2
29-Dec-25,10:10 PM,36,Mild,Gaming,10:26 PM,33,3
29-Dec-25,10:28 PM,37,Mild,Listening to Music ,10:40 PM,29,8
30-Dec-25,9:00 AM,18,Relaxed ,Stretching,9:05 AM,12,6
30-Dec-25,9:20 AM,18,Relaxed ,Meditate,9:30 AM,9,9
30-Dec-25,10:54 AM,14,Relaxed ,Meditate,11:05 AM,9,5
30-Dec-25,11:35 AM,18,Relaxed ,Reading,11:57 AM,8,10
30-Dec-25,12:15 PM,22,Relaxed ,Workout,12:35 PM,8,14
30-Dec-25,1:35 PM,11,Relaxed ,Reading,1:55 PM,9,2
30-Dec-25,2:40 PM,25,Relaxed ,Listening to Music ,3:06 PM,19,6
31-Dec-25,4:00 PM,29,Mild,Watching,4:30 PM,30,-1
31-Dec-25,6:30 PM,35,Mild,Listening to Music ,7:00 PM,32,3
31-Dec-25,9:10 PM,39,Mild,Listening to Music ,9:30 PM,33,6
31-Dec-25,10:39 PM,37,Mild,Watching,10:56 PM,31,6
31-Dec-25,11:00 AM,30,Mild,Watching,11:45 PM,36,-6
1-Jan-26,12:18 AM,36,Mild,Karaoke,12:22 AM,29,7
1-Jan-26,12:44 PM,30,Mild,Karaoke,1:09 AM,28,2
1-Jan-26,1:45 AM,17,Relaxed ,Listening to Music ,2:15 AM,9,8
1-Jan-26,2:40 AM,18,Relaxed ,Listening to Music ,3:00 AM,12,6
1-Jan-26,3:10 AM,12,Relaxed ,Watching,3:32 AM,18,-6
1-Jan-26,4:20 AM,26,Mild,Gaming,4:50 AM,36,-10
1-Jan-26,5:00 AM,36,Mild,Gaming ,5:15 AM,32,4
2-Jan-26,6:00 PM,9,Relaxed ,Reading,6:20 PM,11,-2
2-Jan-26,6:36 PM,19,Relaxed ,Listening to Music ,6:47 PM,15,4
2-Jan-26,7:10 PM,17,Relaxed ,Reading,7:30 PM,11,6
2-Jan-26,7:50 PM,9,Relaxed ,Walking,8:10 PM,17,-8
2-Jan-26,8:15 PM,17,Relaxed ,Walking,8:25 PM,11,6
2-Jan-26,9:30 PM,32,Mild,Gaming,10:00 PM,36,-4
2-Jan-26,10:10 PM,37,Mild,Gaming,10:30 PM,32,5
2-Jan-26,10:35 PM,31,Mild,Gaming,10:50 PM,37,-6
2-Jan-26,11:14 PM,36,Mild,Listening to Music ,11:29 PM,29,7
2-Jan-26,11:30 PM,28,Mild,Reading,11:50 PM,25,3
